Idle,configure,Configuring_TFC

Configuring_TFC,success,TFC_Configured
Configuring_TFC,fail,Idle
Configuring_TFC,abort,Idle

TFC_Configured,abort,Idle
TFC_Configured,configure,Configuring_Detectors
TFC_Configured,error_TFC,Idle

Configuring_Detectors,abort,Idle
Configuring_Detectors,error_TFC,Idle
Configuring_Detectors,success,Detectors_Configured
Configuring_Detectors,fail,TFC_Configured

Detectors_Configured,abort,Idle
Detectors_Configured,error_TFC,Idle
Detectors_Configured,error_Detector,TFC_Configured
Detectors_Configured,configure,Configuring_FLES_and_DCS

Configuring_FLES_and_DCS,abort,Idle
Configuring_FLES_and_DCS,error_TFC,Idle
Configuring_FLES_and_DCS,error_Detector,TFC_Configured
Configuring_FLES_and_DCS,success,FLES_and_DCS_Configured
Configuring_FLES_and_DCS,fail,Detectors_Configured

FLES_and_DCS_Configured,abort,Idle
FLES_and_DCS_Configured,error_TFC,Idle
FLES_and_DCS_Configured,error_Detector,TFC_Configured
FLES_and_DCS_Configured,error_FLES_OR_DCS,Detectors_Configured
FLES_and_DCS_Configured,configure,Configuring_QA

Configuring_QA,abort,Idle
Configuring_QA,error_TFC,Idle
Configuring_QA,error_Detector,TFC_Configured
Configuring_QA,error_FLES_OR_DCS,Detectors_Configured
Configuring_QA,success,QA_Configured
Configuring_QA,fail,FLES_and_DCS_Configured

QA_Configured,abort,Idle
QA_Configured,error_TFC,Idle
QA_Configured,error_Detector,TFC_Configured
QA_Configured,error_FLES_OR_DCS,Detectors_Configured
QA_Configured,error_QA,FLES_and_DCS_Configured
QA_Configured,start_recording,Recording

Recording,abort,Idle
Recording,error_TFC,Idle
Recording,error_FLES_OR_DCS,Detectors_Configured
Recording,error_QA,FLES_and_DCS_Configured
Recording,stop_recording,QA_Configured
